headword,pos,supplement,entry,meaning,ipa,word_id,example_sentence,translated_sentence,sentence_id
,,,agricultural,"農業の, 農耕の, 農学の",/ˌæɡrɪˈkʌltʃərəl/,864,The agricultural sector plays a vital role in the country's economy.,農業部門は、国の経済において重要な役割を果たしています。,2995884
,,,precise,"正確な, 的確な / 《名詞の前にのみ用いて》まさにその / (必要量などに)ちょうどの / (人,考え・規則などか)厳格な",/pɹɪˈsaɪs/,33021,He gave a precise answer to the question.,彼は質問に正確な答えをした。,3003049
,,,elderly,"年配の,初老の / 《the ~》年配の人たち",/ˈɛldərli/,13592,The elderly couple enjoys taking walks in the park every morning.,年配の夫婦は毎朝公園で散歩を楽しんでいます。,2998060
,,,impose,"《...に》 (重荷・税金など)を課する, を負わせる《on, upon ...》 / (考えなど)を押しつける,を強いる《on, upon ...》 / 《...に》つけこむ, 甘える《on, upon ...》",/ɪmˈpoʊz/,21236,The government plans to impose new taxes on high-income earners.,政府は高所得者に新たな税金を課す予定です。,3000037
,,,live,"《名詞の前にのみ用いて》生きている / 活気のある / (問題などが)当面の / 燃えている / (弾丸などが)まだ爆発してない,未発の / まだ動いている,有効な / 電流が通じている / (放送が)生の,実況の",/laɪv/,24767,I don't want to eat a live lobster.,私は生きたままのえびは食べたくない。,69785
,,,mature,成熟した,/məˈtʃʊr/,26140,She is a mature and responsible adult.,彼女は成熟した責任感のある大人です。,3001276
,,,province,"〈C〉(国の行政区画としての)州,省,県 / 〈U〉(権威・責任などの及ぶ)範囲, (学問・活動などの)領域,分野 / 《the ~s》(首都・大都市に対して) 地方,いなか",/prɑːvɪns/,33817,He moved to a small province to escape the busy city life.,彼は忙しい都会の生活を逃れるために小さな州に引っ越しました。,3003273
,,,smooth,"(表面が) なめらかな, 平らな",/smʊð/,39556,Her skin is smooth and flawless.,彼女の肌は滑らかで完璧です。,3004716
,,,expert,"〈C〉《...の》専門家, 熟練者《at, in, on ...》",/ɪkˈspɜːrt/,14827,He is an expert in his field.,彼はその分野のエキスパートだ。,2998365
,,,broad,幅の広い / 広大な / 寛大な / 広範囲にわたる,/brɔːd/,5288,She has a broad knowledge of various subjects.,彼女はさまざまな科目について幅広い知識を持っています。,3009032
,,,additional,"付け加えた,追加の / 特別の",/əˈdɪʃənəl/,490,I need to make an additional comment on the report.,私はレポートに追加のコメントを付け加える必要があります。,2995763
,,,previous,"《名詞の前にのみ用いて》前の, 先の, 以前の / 《補語にのみ用いて》《話》早まった,せっかちすぎる",/pɹiːviəs/,33302,The previous owner of the house left behind some furniture.,その家の前の所有者が家具を残していった。,3003121
,,,throat,"〈C〉(気管・食道部分としての) のど / のど状の物, (容器などの)首",/θroʊt/,43244,I have a sore throat.,私はのどが痛いです。,3005772
,,,currency,"〈C〉〈U〉通貨, 貨幣 / 〈U〉流通, 普及",/ˈkɜːrənsi/,10440,I need to exchange my currency for euros.,私は通貨をユーロに両替する必要があります。,2997221
,,,stare,"〈自〉《...を》じっと見つめる《at, into ...》 / 〈他〉をじっと見つめる, を凝視する",/stɛr/,40762,She stared at him in disbelief.,彼女は信じられないという思いで彼を見つめた。,3005043
,,,throughout,《期間》…中[ずっと] /  《場所》…の至る所に,/θruːˈaʊt/,43256,She worked hard throughout the day.,彼女は一日中一生懸命働きました。,3005776
,,,muscle,"〈U〉(動物体の組織としての)筋肉,筋(きん);〈C〉(体の各部を動かす)筋肉  / 〈U〉力,(特に)筋力,腕力",/ˈmʌsəl/,27897,He has strong muscles from working out regularly.,彼は定期的にトレーニングをしているので、筋肉が強いです。,3001742
,,,musician,"音楽家,楽士  / 《おもに英》作曲家",/mjuˈzɪʃən/,27923,The musician played a beautiful melody on the piano.,ピアニストは美しい旋律を弾いた。,1623596
,,,bus,バス,/bʌs/,5676,I will take the bus to school.,学校へはバスに乗るつもりです。,1624051
,,,potentially,"潜在的に, 可能性を秘めて",/pəˈtɛnʃəli/,32843,He is potentially the best candidate for the job.,彼は最高の候補者である可能性がある。,1628197
,,,replace,取り替える；取って代わる；戻す、買い換える,/rɪˈpleɪs/,35661,I need to replace the broken light bulb.,壊れた電球を取り替える必要があります。,3003744
,,,series,〈C〉(関連のあるもの・同種のものの) 連続 / (同種の貨幣・切手などの)一組 / (テレビ番組などの)連続物 / (電気の)直列,/ˈsɪəriːz/,38213,I am currently watching a series on Netflix.,私は現在、Netflixでシリーズを視聴しています。,3004361
,,,stability,"〈U〉安定, 安定性 / (人・意志などの)着実,強固,不変",/stəˈbɪləti/,40635,The stability of the economy is crucial for the country's development.,経済の安定は国の発展にとって重要です。,1652390
,,,staff,"〈C〉つえ / 支えとなるもの / 《集合的に》職員,社員 / 【動/他】...に職員を置く /",/stæf/,40651,The staff at the hotel were very helpful and friendly.,ホテルのスタッフはとても親切でフレンドリーでした。,3005014
,,,text,原文 / 本文 / 教科書 / (議論・演説などの)主題、題目,/tɛkst/,42957,The text of the book is written in a clear and concise manner.,この本の本文は明瞭かつ簡潔に書かれている。,3005622
,,,neighbor,"〈C〉隣人, 近所の人 / 同胞, 仲間",/ˈneɪ.bər/,28345,My neighbor is a friendly person.,私の隣人は親切な人です。,1623601
,,,myself,"《強意用法》《Iと同格に用いて》私自身  / 《再帰用法》《動詞・前置詞の目的語として》私自身を(に),自分を(に)",/maɪˈsɛlf/,27998,I can take care of it myself.,自分で対処できます。,3001758
,,,steel,〈U〉鋼鉄 / 〈C〉鋼鉄製品,/stiːl/,40884,The construction of the building required a lot of steel.,建物の建設にはたくさんの鋼鉄が必要でした。,3005080
,,,yard,"〈C〉ヤード(長さの単位で3フィート,約91.4センチ) / (日本で布を測るときの)ヤール / (特に建築業で)1立方ヤード",/jɑːrd/,48064,The kids are playing in the yard.,子供たちは庭で遊んでいます。,3006922
,,,agenda,"会議事項,議事日程;備忘録",/əˈdʒɛndə/,807,Please make sure to review the agenda before the meeting.,会議前に必ず議題を確認してください。,2995859
,,,repair,"〈U〉修繕, 修理",/rɪˈpɛər/,35628,I need to repair my car.,私は車を修理する必要があります。,3003734
,,,subsequent,"(時間・順序,位置などについて)後の, 次の / (結果として)続いて起こる",/səbˈsɛkwənt/,41537,The subsequent events were unexpected.,その後の出来事は予想外でした。,3005235
,,,rear,"〈C〉(ある物の)背後, 後方 / (ある物の)後部 / (軍・艦隊などの)最後尾,後衛 / 【形】後方の / 後部の",/ɹɪər/,34997,I looked in the rearview mirror to check for any cars behind me.,私は後ろを見るためにバックミラーを見ました。,3003522
,,,numerous,"非常に多い,多数の(very many)  / 多数から成る(を含む)",/ˈnuːmərəs/,29055,There are numerous books in the library.,図書館には非常に多くの本があります。,3002044
,,,supply,"〈他〉《...に》〈不足物・必要物〉を供給する《to, for ...》 / 《...を》〈人・物〉に供給する《with ...》",/səˈplaɪ/,41892,They supplied the villagers with food.,彼らは村人たちに食料を供給した。,22389
,,,tip,"〈C〉チップ, 心付け,祝儀 / 《...に関する ...からの》内報, 秘密情報《for, on ... from ...》 / 《...についての》ヒント, 助言《on ...》 /",/tɪp/,43479,Here's a helpful tip: always double-check your work before submitting it.,ここに役立つヒントがあります：提出する前に常に作業をダブルチェックしてください。,3005709
,,,wound,"〈C〉(身体の) 傷,負傷 / 《感情・自尊心などに対する》 痛手《to ...》",/waʊnd/,47911,She had a deep wound on her leg.,彼女は脚に深い傷を負っていた。,3006878
,,,mean,"〈人が〉…を意図する, ...のつもりである / 〈単語・句・文章などが〉…を意味を持つ, を意味する",/miːn/,26221,What do you mean?,何を意味していますか？,3001299
,,,athlete,"競技者,運動家 / 強壮な人;《英》陸上競技選手",/ˈæθ.liːt/,2507,The athlete trained hard every day to improve his performance.,その競技者は、パフォーマンスを向上させるために毎日厳しくトレーニングしていました。,2996323
,,,ourselves,"《強意用法》《weと同格に用いて》私たち自身,自分たちみずから  / 《再帰用法》《動詞・前置詞の目的語として》私たち自身を(に),自分たちを(に)  / 《まれ》《おもにthan,butなどの後でweの代用として》我々,私たち",/ɑːrˈsɛlvz/,29908,We should believe in ourselves and our abilities.,私たちは自分自身と自分の能力を信じるべきです。,3002296
,,,car,"自動車(automobile)電車(streetcar)  / 《米》(鉄道の)車両;客車,貨車  / (気球などの)かご;(エレベーターの)箱",/kɑr/,6302,I bought a new car.,私は新しい車を買った。,1624063
,,,partnership,"〈U〉提携,協力  / 〈U〉組合契約;〈C〉合名会社",/pɑːtnərʃɪp/,30755,The two companies formed a partnership to expand their market reach.,2つの会社は市場拡大のために提携を結んだ。,3002518
,,,passenger,"〈C〉乗客, 旅客 / 《英話》足手まといな人",/ˈpæsən(d)ʒər/,30782,The passenger boarded the plane.,乗客が飛行機に乗りました。,3002525
,,,percentage,"百分率,割合  / 《複数形で》見込み,確率",/pərˈsɛntɪdʒ/,31263,The percentage of students who passed the exam is 80%.,試験に合格した学生の割合は80％です。,3002701
,,,perfectly,"完全に,申し分なく  / 全く,すっかり",/pərˈfɛktli/,31299,She perfectly executed the dance routine.,彼女は完全にダンスのルーティンを実行しました。,3002711
,,,lip,"〈C〉くちびる,口もと  / 《複数形で》(発音器官としての)くちびる,口  / 〈U〉《俗》生意気な言葉  / 〈C〉(容器などの)口,へり,縁;(峡谷・火山などの)口  / 〈C〉(植物の)唇弁(しんべん)",/lɪp/,24656,She applied a coat of lipstick to her lips.,彼女はくちびるに口紅を塗った。,3000902
,,,poet,"詩人,歌人  / 詩的才能のある人",/poʊɪt/,32396,The poet wrote beautiful verses that touched the hearts of many.,その詩人は多くの人々の心に触れる美しい詩を書いた。,3002893
,,,winner,"勝利者,優勝者;(競馬の)勝ち馬  / 受賞者  / うまくいくもの(こと),期待できるもの(こと)",/'wɪnər/,47577,She was declared the winner of the competition.,彼女は競技の勝利者と宣言されました。,3006767
,,,monthly,"月1回の,毎月の,月ぎめの  / 1か月間の,1か月続く",/'mʌnθli/,27461,I have a monthly meeting with my team.,私はチームと月に１回ミーティングを行っています。,3001614
,,,nothing,"何も…ない(not anything ,no thing)  / 少しも…でない  / 〈C〉《単数形で》重用でないこと(人),取るに足りない人  / 〈U〉ゼロ",/ˈnʌθɪŋ/,28938,There's nothing I can do.,私にできることは何もない。,1623616
,,,once,"(ただ)1度,1回  / かつて,以前  / 《否定文で》一度も(…しない);《条件節で》いったん…すれば  / 1度,1回",/ wʌns /,29538,"Once I got on the train, I felt relieved.",電車に乗ったら、安心しました。,1623629
,,,pick,"〈他〉を選ぶ / を摘む,もぎ取る / つまみとる〈自〉つつく / 精選する",/pɪk/,31784,He picked up the pen from the desk.,彼は机からペンを拾い上げた。,1623656
,,,service,〈U〉〈C〉奉仕 / 公共事業 / 〈U〉職員業務 / サービス / 役立つこと,/'sɜːrvɪs/,38239,The customer service at this restaurant is excellent.,このレストランのサービスは素晴らしいです。,3004373
,,,powerful,強力な / 効果的な / 有力な,/paʊərfl/,32915,She has a powerful voice.,彼女は力強い声を持っています。,3003021
,,,release,"解放する / 公開する,発表する",/rɪˈliːs/,35492,The company plans to release a new product next month.,会社は来月新製品を発売する予定です。,3003674
,,,repeat,"〈自分がすでに一度言ったこと)‘を'繰り返して言う  / 〈他人の言ったこと〉‘を'おうむ返しに言う;…‘を'他の人に繰り返して言う  / …‘を'暗記して言う,暗唱する  / …‘を'繰り返して行う(do again)  / (食べたあとで)〈食物の〉味が残る  / 〈小数が〉循環する",/rɪˈpiːt/,35643,I will repeat the same question again.,同じ質問をもう一度繰り返します。,1623716
,,,score,"(ゲーム・競技の)スコア,得点記録  / (ゲーム・競技の)得点  / (試験の)点数,評点  / 《おもに文》20[の単位]  / 《複数形で》多数(の…)《+of+名》  / 《まれ》勘定,借金  / 《単数形で》理由,根拠,原因  / (またscore mark)刻み目,線,印  / 総譜,楽譜",/skɔr/,37492,The final score was calculated based on the average of all the individual scores.,最終得点は、個々の得点の平均に基づいて計算されました。,3009187
,,,pregnancy,〈U〉〈C〉妊娠の状態(期間)  / 〈U〉《文》含蓄,/prɛɡnənsi/,33100,She is experiencing a healthy pregnancy.,彼女は健康な妊娠を経験しています。,3003071
,,,season,"季,季節(春夏秋冬の4季節のそれぞれ)  / (一年のうちの,ある気候の)時季,時節  / (果物などの)出盛り,(…の)盛んな時期  / (一般に)時節,時期 / 《…に》ふさわしい時,《…の》好期《for ...》",/siːzən/,37736,I love the autumn season.,私は秋の季節が大好きです。,3004251
,,,seed,"〈U〉〈C〉種,種子  / 〈C〉《複数形で》(物事・事件などの)原因,根源,種  / 〈U〉(聖書で)子供たち,子孫  / 〈土地〉‘に'種をまく,まく;(…を)…‘に'まく《+名+with+名》  / 〈果物など〉‘の'種を除く  / 〈チーム・競技者など〉‘を'シードする  / (人工雨を降らすため)〈雲〉‘に'ドライアイス(その他の化学薬品)を散布する  / 〈植物が〉種(実)を生ずる;種(実)を落とす",/siːd/,37863,She planted the seed in the garden.,彼女は庭に種を植えました。,3004289
,,,printer,印刷する人(機械);印刷屋  / (コンピューターの)文字打ち出し機　プリンター,/ˈprɪntər/,33396,I need to buy a new printer for my office.,オフィス用に新しいプリンターを買わなければなりません。,3003152
,,,producer,"生産者;産出地  / (劇・映画などの)製作者,プロデューサー",/prəˈdjuːsər/,33519,The producer is responsible for overseeing the manufacturing process.,生産者は製造プロセスの監督を担当しています。,1645248
,,,snap,"パチン(ポキン,カチッ,ピシッ)と音をたてる / 〈木の枝などが〉ポキッと折れる,〈糸などが〉プツンと切れる / 〈戸・ふた・カギなどが〉パチン(カチッなど)と音をたてて(…の状態に)なる《+形〈補〉》 / (…に)ぱくっとかみつく《+at+名》 / …‘を'パチン(ピシッ)と音をさせる / …‘を'ポキッと折る,プツンと切る;…‘を'パチッと締める / 〈命令・応答など〉‘を'ピシッと言う《+out+名,+名+out》 / 《話》〈スナップ写真〉‘を'撮る",/snæp/,39588,The pup snapped at my hand.,小犬は私の手にかみついた。,61298
,,,promote,"…‘を'助長する,促進する,増進する  / (…に)…‘を'昇進させる,進級させる《+名+to+名》  / 〈議案など〉‘を'通過するように努力する  / 〈会社・事業〉‘を'発起する;〈興業〉‘を'主催する  / 〈商品など〉‘の'販売促進をする",/prəˈmoʊt/,33623,Social media can promote the spread of information.,ソーシャルメディアは情報の拡散を助長することができます。,3003219
,,,spirit,"〈U〉精神,心  / 〈C〉(超自然の)霊魂,霊;幽霊,妖精  / 〈C〉《形容詞を伴って》(ある気資・性格をもった)人  / 〈U〉元気,活気  / 〈U〉《時にa ~》気立て,気質;意気,気概  / 《複数形で》気分,きげん  / 〈U〉(団体などに対する)忠誠心,献心  / 〈C〉(全体に流れる)傾向,風潮  / 〈U〉《the ~》(法などの)精神  / 《複数形で》アルコール;強い酒",/'spɪrɪt/,40350,She has a strong spirit.,彼女は強い精神を持っています。,3004841
,,,convert,"〈他〉〖~ A into [to] B〗AをBに変える,転換する〈自〉変わる,転換する",/kənˈvɜrt/,9319,I need to convert the file to a different format.,ファイルを別の形式に変換する必要があります。,3009876
,,,warm,"暖かい,思いやりのある / 興奮した / 暖色の / 生々しい",/wɔrm/,46692,The warm sun was shining through the window.,太陽が窓を通して暖かく輝いていた。,1623939
,,,part,"〈C〉(全体を構成する) 部分 / 〈U〉《しばしばa ...》《…の》一部, 一部分《of ...》 / 〈C〉(仕事などの)役目",/pɑːrt/,30710,I need you to be a part of this project.,このプロジェクトの一部として参加してもらいたい。,3002500
,,,childhood,"幼時,子供時代",/ˈtʃaɪldhʊd/,7288,I have many fond memories from my childhood.,私には子供の頃の楽しい思い出がたくさんあります。,3009439
,,,publication,"〈U〉(書籍・雑誌などの)出版,発行《+of+名》  / 〈C〉出版物(書籍,雑誌,新聞など)  / 〈U〉(…の)公表,発表《+of+名》",/pʌblɪˈkeɪʃən/,33972,The publication of her new book was eagerly anticipated by her fans.,彼女の新しい本の出版は、彼女のファンに熱望されていました。,3003305
,,,quietly,静かに  / 穏やかに  / じみに,/'kwaɪətli/,34432,"She sat quietly in the corner, reading her book.",彼女は静かに角に座って、本を読んでいた。,3003350
,,,competitor,"競争者,競争相手,競合他社",/kəmˈpɛtɪtər/,8655,She is a tough competitor in the business world.,彼女はビジネス界で厳しい競争相手です。,1641322
,,,completely,"完全に,全く,十分に",/kəmˈpliːtli/,8675,The answer is completely wrong.,その答えは完全に間違っている。,119294
,,,symptom,"〈C〉(病気の) 症状, 兆候 / 《...の》きざし, 印《of ...》",/'sɪmptəm/,42238,He experienced a symptom of the disease.,彼はその病気の症状を経験した。,3005441
,,,relative,"比較上の,(他と)比べての / 相対的で / 関係のある /対応した",/'ɹɛlətɪv/,35476,Supply is relative to demand.,供給は需要に比例する。,94381
,,,tape,"〈U〉(細長い紙・布などの荷造り用)テープ,ひも  / 〈C〉(決勝線用の)テープ  / =tape measure  / 〈C〉〈U〉録音用テープ  / =tape recording  / =tape measure",/teɪp/,42506,I used tape to wrap the gift.,私は贈り物を包むためにテープを使いました。,3005513
,,,resist,"《通例否定文で》…‘を'こらうる,がまんする  / …‘に'抵抗する,反抗する  / …‘の'作用に耐える,‘に'影響されない,抵抗する,耐える",/rɪˈzɪst/,35789,She tried to resist the temptation to eat the chocolate cake.,彼女はチョコレートケーキを食べる誘惑に抵抗しようとした。,3003790
,,,reveal,"〈秘密・事実など〉を明らかにする, を暴く / 〈隠されていた物〉を現す, を見せる",/rɪˈviːl/,35959,The detective will reveal the truth at the end of the movie.,探偵は映画の最後に真実を明らかにするでしょう。,3003836
,,,risk,危険;危害(損害)を受ける可能性《+of+名(doing)》,/rɪsk/,36251,Investing in stocks carries a certain level of risk.,株式投資には一定のリスクが伴います。,3003897
,,,yellow,"黄色の / 皮膚の黄色い / 《俗》おく病な(cowardly) / (新聞が)センセーショナルな,扇情的な",/jɛloʊ/,48100,The sunflower is a beautiful yellow flower.,ひまわりは美しい黄色の花です。,3006932
,,,sad,"(人が)悲しい  / (表情などが)悲しそうな;(物事が)悲しむ  / べき,残念な  / 《名試の前にのみ用いて》ひどい,みじめな,貧習な  / (色が)くすんだ",/sæd/,36868,The girl was sad when her best friend moved away.,彼女の親友が引っ越してしまった時、女の子は悲しんでいた。,1623730
,,,December,12月({略}Dec.),/dɪˈsɛmbər/,10971,I'm looking forward to December.,12月が楽しみです。,1624151
,,,despite,〜にもかかわらず,/dɪˈspaɪt/,11577,"Despite the rain, we still went for a walk.",雨にもかかわらず、私たちは散歩に行きました。,2997511
,,,physical,"身体の,肉体の(bodily)  / 《名詞の前にのみ用いて》物質の(material);自然[界]の  / 《名詞の前にのみ用いて》物理学の,物理的な;自然科学の  / 身体検査(physical examination)",/fɪzɪkəl/,31736,Regular exercise is important for maintaining good physical health.,定期的な運動は良い身体の健康を維持するために重要です。,3002746
,,,population,"〈U〉〈C〉人口,住民の数  / 《the~》《集合的に》(一定地域の)全体民  / 《the~》(特定階層の)人々,連中  / 〈U〉〈C〉(一定の区域内にいる)動植物の個体数",/pɒpjʊˈleɪʃ(ə)n/,32659,The population of the city has been steadily increasing over the years.,その都市の人口は年々着実に増加しています。,3002954
,,,potato,〈C〉〈U〉ジャガイモ  / (またpotato plant)〈C〉ジャガイモをつける植物  / 〈C〉〈U〉《おもに米》サツマイモ(sweet potato),/pəˈteɪ.toʊ/,32829,I made mashed potatoes for dinner.,夕食にマッシュポテトを作りました。,1624452
,,,hot,"熱い, 暑い /  (味が)辛い,ひりひりする  / (気性などの)激しい / (気分・感情などの)高ぶった, 興奮した([[excited)]]) / (状態や動きが)激しい([[violent]])   / (ニュースなどが)新しい, 発表されたばかりの / 《話》(商品などが)人気のある,売れる",/hɑt/,20437,The coffee is too hot to drink.,コーヒーは飲むには熱すぎます。,2999827
,,,sexual,"性の,男女(雌雄)の  / 有性生殖の",/'sɛksjuəl/,38331,Sexual education is important for young adults.,若者にとって性教育は重要です。,3004399
,,,imagination,"〈U〉〈C〉想像,空想  / 〈U〉《話》想像の産物,空想的な考え,気の迷い  / 〈U〉創作力,創意",/ɪˌmædʒɪˈneɪʃən/,21060,She has a vivid imagination.,彼女は豊かな想像力を持っています。,2999985
,,,immediate,"即座の,即時の, すぐの, 早急な / 当面の, 当座の / (時間・空間的に)すぐ近くの  / 直接の,じかの([[direct]])",/ɪˈmi.di.ət/,21090,I need your immediate response to this matter.,この件については早急な対応が必要です。,1629175
,,,sheep,"羊  / 気の弱い人,人に引きずられやすい人",/ʃiːp/,38469,The farmer has a lot of sheep.,農夫はたくさんの羊を持っている。,1623754
,,,shirt,"(えり付きの男物)シャツ,ワイシャツ  / 《米》(下着の)シャツ,はだ着(undershirt)",/ʃɜrt/,38579,I bought a new shirt yesterday.,昨日新しいシャツを買った。,1623757
,,,dozen,"ダースの,12個の(《略》doz.,dz.)",/ˈdʌzən/,12834,I bought a dozen eggs at the grocery store.,私はスーパーマーケットで卵を１ダース買いました。,2997853
,,,similar,(大体において) 似ている / (図形が)相似の,/sɪˈmɪlər/,38972,The two paintings have a similar style.,2つの絵は似たスタイルを持っています。,3004576
,,,skill,"〈U〉(…の)熟練,技量,腕《+in+名(doing)》  / 〈C〉特殊技術,特殊技能",/skɪl/,39181,He showed his skill in playing the piano.,彼はピアノ演奏の腕前を披露した。,1623775
,,,no,"《名詞の前に置いて》一つも(一人も,少しも, 全く)…ない / 《補語につけて》決して…でない, 決して...ならない / 《省略文で》…なし;…お断り / 《話》少ししか(あまり)…ない",/nəʊ/,28683,There is no way I can finish this task on time.,私にはこの仕事を時間内に終わらせる方法は一つもありません。,3001952
